CD_MUN,NM_MUN,Populacao_Residente_2022,Area_Da_Unidade_territorial_km²,Densidade_Demografica_2022
3523305,Itariri,15528,"273,667","56,74"
3523404,Itatiba,121590,"322,269","377,29"
3523503,Itatinga,19070,"979,817","19,46"
3523602,Itirapina,16148,"564,603","28,6"
3523701,Itirapuã,5779,"161,118","35,87"
3523800,Itobi,8046,"138,986","57,89"
3523909,Itu,168240,"640,719","262,58"
3524006,Itupeva,70616,"200,876","351,54"
3524105,Ituverava,37571,"704,659","53,32"
3524204,Jaborandi,6221,"273,438","22,75"
3524303,Jaboticabal,71821,"706,602","101,64"
3524402,Jacareí,240275,"464,272","517,53"
3524501,Jaci,7613,"145,133","52,46"
3524600,Jacupiranga,16097,"704,189","22,86"
3524709,Jaguariúna,59347,"141,391","419,74"
3524808,Jales,48776,"368,574","132,34"
3524907,Jambeiro,6397,"184,413","34,69"
3525003,Jandira,118045,"17,449","6765,14"
3525102,Jardinópolis,45282,"501,87","90,23"
3525201,Jarinu,37535,"207,549","180,85"
3525300,Jaú,133497,"687,103","194,29"
3525409,Jeriquara,3863,"141,971","27,21"
3525508,Joanópolis,12815,"374,293","34,24"
3525607,João Ramalho,4371,"415,452","10,52"
3525706,José Bonifácio,36633,"860,2","42,59"
3525805,Júlio Mesquita,4254,"128,183","33,19"
3525854,Jumirim,3056,"56,685","53,91"
3525904,Jundiaí,443221,"431,204","1027,87"
3526001,Junqueirópolis,20448,"582,565","35,1"
3526100,Juquiá,17154,"812,799","21,1"
3526209,Juquitiba,27404,"522,169","52,48"
3526308,Lagoinha,5083,"255,472","19,9"
3526407,Laranjal Paulista,26261,"384,274","68,34"
3526506,Lavínia,9689,"537,675","18,02"
3526605,Lavrinhas,7171,"167,067","42,92"
3526704,Leme,98161,"402,871","243,65"
3526803,Lençóis Paulista,66505,"809,541","82,15"
3526902,Limeira,291869,"580,711","502,61"
3527009,Lindóia,7014,"48,756","143,86"
3527108,Lins,74779,"570,058","131,18"
3527207,Lorena,84855,"414,16","204,88"
3527256,Lourdes,1950,"113,94","17,11"
3527306,Louveira,51847,"55,738","930,19"
3527405,Lucélia,20061,"314,81","63,72"
3527504,Lucianópolis,2372,"189,536","12,51"
3527603,Luís Antônio,12265,"598,257","20,5"
3527702,Luiziânia,4701,"166,576","28,22"
3527801,Lupércio,3981,"155,171","25,66"
3527900,Lutécia,2661,"475,226","5,6"
3528007,Macatuba,16829,"224,514","74,96"
3528106,Macaubal,7481,"248,087","30,15"
3528205,Macedônia,3963,"327,567","12,1"
3528304,Magda,3165,"312,282","10,14"
3528403,Mairinque,50027,"210,149","238,05"
3528502,Mairiporã,93853,"320,697","292,65"
3528601,Manduri,9871,"229,046","43,1"
3528700,Marabá Paulista,4573,"919,519","4,97"
3528809,Maracaí,12673,"533,498","23,75"
3528858,Marapoama,3292,"111,267","29,59"
3528908,Mariápolis,3513,"186,544","18,83"
3529005,Marília,237627,"1170,515","203,01"
3529104,Marinópolis,1860,"77,827","23,9"
3529203,Martinópolis,24881,"1253,564","19,85"
3529302,Matão,79033,"524,899","150,57"
3529401,Mauá,418261,"61,937","6753,01"
3529500,Mendonça,6159,"195,151","31,56"
3529609,Meridiano,4572,"228,199","20,04"
3529658,Mesópolis,1952,"148,636","13,13"
3529708,Miguelópolis,19441,"820,849","23,68"
3529807,Mineiros do Tietê,11230,"213,242","52,66"
3529906,Miracatu,18553,"1001,484","18,53"
3530003,Mira Estrela,3126,"216,825","14,42"
3530102,Mirandópolis,27983,"917,694","30,49"
3530201,Mirante do Paranapanema,15917,"1238,931","12,85"
3530300,Mirassol,63337,"243,228","260,4"
3530409,Mirassolândia,4669,"166,125","28,11"
3530508,Mococa,67681,"855,156","79,14"
3530607,Mogi das Cruzes,451505,"712,541","633,65"
3530706,Mogi Guaçu,153658,"812,753","189,06"
3530805,Mogi Mirim,92558,"497,708","185,97"
3530904,Mombuca,3722,"133,698","27,84"
3531001,Monções,1937,"104,352","18,56"
3531100,Mongaguá,61951,"142,755","433,97"
3531209,Monte Alegre do Sul,8627,"110,308","78,21"
3531308,Monte Alto,47574,"346,95","137,12"
3531407,Monte Aprazível,22280,"495,559","44,96"
3531506,Monte Azul Paulista,18151,"263,462","68,89"
3531605,Monte Castelo,4222,"233,547","18,08"
3531704,Monteiro Lobato,4138,"332,742","12,44"
3531803,Monte Mor,64662,"240,566","268,79"
3531902,Morro Agudo,27933,"1388,127","20,12"
3532009,Morungaba,13720,"146,752","93,49"
